Food_code,Main_food_description,Protein,Total Fat,Carbohydrates,Energy,Alcohol,Water,Caffeine,Theobromine,Sugar,Fiber,Calcium,Iron,Magnesium,Phosphorous,Potassium,Sodium,Zinc,Copper,Selenium,Retinol,Vitamin A,"Carotene, Beta","Carotene, Alpha",Vitamin E,Vitamin D,"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,Vitamin C,Thiamin,Riboflavin,Niacin,VitaminB6,"Folate, Total",Vitamin B-12,"Choline, Total",Vitamin K,Folic Acid,"Folate, Food","Folate, DFE","Vitamin E, added",VitaminB12a,Cholestrol,FattyAcids,607,608,609,610,611,612,613,614,617,618,619,620,621,626,627,628,629,630,631,645,646,Color,MODCODE,DESCRIPTION,F_CITMLB,F_OTHER,F_JUICE,F_TOTAL,V_DRKGR,V_REDOR_TOMATO,V_REDOR_OTHER,V_REDOR_TOTAL,V_STARCHY_POTATO,V_STARCHY_OTHER,V_STARCHY_TOTAL,V_OTHER,V_TOTAL,V_LEGUMES,G_WHOLE,G_REFINED,G_TOTAL,PF_MEAT,PF_CUREDMEAT,PF_ORGAN,PF_POULT,PF_SEAFD_HI,PF_SEAFD_LOW,PF_MPS_TOTAL,PF_EGGS,PF_SOY,PF_NUTSDS,PF_LEGUMES,PF_TOTAL,D_MILK,D_YOGURT,D_CHEESE,D_TOTAL,OILS,SOLID_FATS,ADD_SUGARS,A_DRINKS
24147260,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating not eaten, NS as to type of fat added in cooking",26.9,7.75,0,182,0,64.28,0,0,0,0,12,0.94,20,183,239,544,2.83,0.086,30.6,8,8,0,0,0.67,0.1,0,0,106,0,0.09,0.284,5.695,0.425,3,0.44,60.6,6.1,0,3,3,0,0,125,1.702,0.001,0,0.001,0.004,0.005,0.024,1.226,0.396,2.665,1.906,0.184,0.127,0.009,0.283,0,0.032,0.004,0,0.012,2.997,2.311,#ff4500,0,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating not eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.38,0,0,0,0,0,3.1,0,0
24147260,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating not eaten, NS as to type of fat added in cooking",26.9,7.75,0,182,0,64.28,0,0,0,0,12,0.94,20,183,239,544,2.83,0.086,30.6,8,8,0,0,0.67,0.1,0,0,106,0,0.09,0.284,5.695,0.425,3,0.44,60.6,6.1,0,3,3,0,0,125,1.702,0.001,0,0.001,0.004,0.005,0.024,1.226,0.396,2.665,1.906,0.184,0.127,0.009,0.283,0,0.032,0.004,0,0.012,2.997,2.311,#ff4500,205972,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating not eaten W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.38,0,0,0,0,3.1,0,0,0
24147260,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating not eaten, NS as to type of fat added in cooking",26.9,7.75,0,182,0,64.28,0,0,0,0,12,0.94,20,183,239,544,2.83,0.086,30.6,8,8,0,0,0.67,0.1,0,0,106,0,0.09,0.284,5.695,0.425,3,0.44,60.6,6.1,0,3,3,0,0,125,1.702,0.001,0,0.001,0.004,0.005,0.024,1.226,0.396,2.665,1.906,0.184,0.127,0.009,0.283,0,0.032,0.004,0,0.012,2.997,2.311,#ff4500,206818,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating not eaten W/O FAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.49,0,0,0,0,0,0,0,0
24150200,"Chicken, thigh, NS as to cooking method, NS as to skin eaten",24.4,7.96,0,173,0,66.7,0,0,0,0,9,1.08,24,220,267,449,1.9,0.069,28.8,8,8,0,0,0.23,0.2,0,0,27,0,0.094,0.232,6.196,0.453,5,0.4,79.3,2.7,0,5,5,0,0,129,2.32,0.001,0.001,0.001,0.002,0.004,0.045,1.755,0.48,2.817,1.488,0.073,0.09,0.005,0.482,0.001,0.037,0.005,0.001,0.009,3.363,1.731,#ff4500,0,"Chicken, thigh, NS as to cooking method, NS as to skin eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.3,0,0,0,0,0,5.49,0,0
24150210,"Chicken, thigh, NS as to cooking method, skin eaten",23.13,14.32,0.03,225,0,61.64,0,0,0,0,10,1.06,22,209,251,444,1.74,0.066,26.8,16,16,0,0,0.24,0.2,0,0,34,0,0.086,0.204,5.773,0.405,4,0.43,74.7,2.3,0,4,4,0,0,130,4.087,0.001,0.001,0.002,0.003,0.009,0.083,3.157,0.781,5.208,2.716,0.135,0.1,0.006,0.912,0.003,0.078,0.006,0.002,0.01,6.245,3.052,#ff4500,0,"Chicken, thigh, NS as to cooking method, skin eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.3,0,0,0,0,0,5.49,0,0
24150220,"Chicken, thigh, NS as to cooking method, skin not eaten",24.4,7.96,0,173,0,66.7,0,0,0,0,9,1.08,24,220,267,449,1.9,0.069,28.8,8,8,0,0,0.23,0.2,0,0,27,0,0.094,0.232,6.196,0.453,5,0.4,79.3,2.7,0,5,5,0,0,129,2.32,0.001,0.001,0.001,0.002,0.004,0.045,1.755,0.48,2.817,1.488,0.073,0.09,0.005,0.482,0.001,0.037,0.005,0.001,0.009,3.363,1.731,#ff4500,0,"Chicken, thigh, NS as to cooking method, skin not eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.5,0,0,0,0,0,0,0,0
24152200,"Chicken, thigh, roasted, broiled, or baked,  NS as to skin eaten",24.4,7.96,0,173,0,66.7,0,0,0,0,9,1.08,24,220,267,449,1.9,0.069,28.8,8,8,0,0,0.23,0.2,0,0,27,0,0.094,0.232,6.196,0.453,5,0.4,79.3,2.7,0,5,5,0,0,129,2.32,0.001,0.001,0.001,0.002,0.004,0.045,1.755,0.48,2.817,1.488,0.073,0.09,0.005,0.482,0.001,0.037,0.005,0.001,0.009,3.363,1.731,#ff4500,0,"Chicken, thigh, roasted, broiled, or baked,  NS as to skin eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.3,0,0,0,0,0,5.49,0,0
24152210,"Chicken, thigh, roasted, broiled, or baked, skin eaten",23.13,14.32,0.03,225,0,61.64,0,0,0,0,10,1.06,22,209,251,444,1.74,0.066,26.8,16,16,0,0,0.24,0.2,0,0,34,0,0.086,0.204,5.773,0.405,4,0.43,74.7,2.3,0,4,4,0,0,130,4.087,0.001,0.001,0.002,0.003,0.009,0.083,3.157,0.781,5.208,2.716,0.135,0.1,0.006,0.912,0.003,0.078,0.006,0.002,0.01,6.245,3.052,#ff4500,0,"Chicken, thigh, roasted, broiled, or baked, skin eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.3,0,0,0,0,0,5.49,0,0
24152220,"Chicken, thigh, roasted, broiled, or baked, skin not eaten",24.4,7.96,0,173,0,66.7,0,0,0,0,9,1.08,24,220,267,449,1.9,0.069,28.8,8,8,0,0,0.23,0.2,0,0,27,0,0.094,0.232,6.196,0.453,5,0.4,79.3,2.7,0,5,5,0,0,129,2.32,0.001,0.001,0.001,0.002,0.004,0.045,1.755,0.48,2.817,1.488,0.073,0.09,0.005,0.482,0.001,0.037,0.005,0.001,0.009,3.363,1.731,#ff4500,0,"Chicken, thigh, roasted, broiled, or baked, skin not eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.5,0,0,0,0,0,0,0,0
24153200,"Chicken, thigh, stewed, NS as to skin eaten",24.2,9.16,0,184,0,65.95,0,0,0,0,11,1.31,22,164,213,434,2.35,0.069,20,16,16,0,0,0.26,0.2,0,0,0,0,0.068,0.193,5.493,0.237,6,0.25,65.8,2.6,0,6,6,0,0,100,2.488,0,0.001,0.001,0,0.022,0.06,1.772,0.556,2.887,1.656,0.079,0.103,0.036,0.483,0,0.05,0.008,0,0.023,3.469,1.955,#ff4500,0,"Chicken, thigh, stewed, NS as to skin eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.29,0,0,0,0,0,5.93,0,0
